cord_id,paper_id
k2uydo6j,0001418189999fea7f7cbe3e82703d71c85a6fe5
o81b9htu,0003793cf9e709bc2b9d0c8111186f78fb73fc04
s31mbs7a,00039b94e6cb7609ecbddee1755314bcfeb77faa
0tqwjdhd,0004456994f6c1d5db7327990386d33c01cff32a
9k0bsktb,0004774b55eb0dad880aba9b572efe362660c5e0
5k0ktboh,00060fb61742ff60e4e3ba4648c74a34cfe9560d
zugd4rji,00073cb65dd2596249230fab8b15a71c4a135895
g24zbcd5,00075c64ada4d1530d1fee02294a8201450f280d
h7iykrrl,0008c57de475138d903f2cca7003cf1e1ad93cf4
vxpyony9,000a0fc8bbef80410199e690191dc3076a290117
5f25yqzf,000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a
uijwq8gx,000bc3d4637530496ac4cb798e10d95709eff92d
oveybgbc,000e43590fdd2e011cfadaa14e6c14f318d11bbb
q356npb7,000e754142ba65ef77c6fdffcbcbe824e141ea7b
0dxl6t4p,000eec3f1e93c3792454ac59415c928ce3a6b4ad
xcii4zlt,000f9e2d3dadab239e44c57471b7a8b9b35452b9
podcwiyt,001085074ee7d900b7be7a43598018650a1c310f
o684am08,0011ddfef82542d0e5dfa0cc22e08795f99c67a4
ay4wxf88,001259ae6d9bfa9376894f61aa6b6c5f18be2177
barmkkwx,00142f93c18b07350be89e96372d240372437ed9
hj77rg85,0014b643b47d9b881e401ad5c4995622e0a39433
8cwwx7v3,00154ef181732195c77fc1abd791fa2a996b9099
y0c39p7a,0015915e6bf0bdfd8c5b72cd584da735e0346c14
rjh1ahi6,0015cd5eff53d9504a5e2aa47756e31579d3dbe0
gdveadvv,0016983545c217458b711d5aaad5fba583d81171
dgjypnga,0017543a70b6b8d729f3bbd0a84f24683a1854d7
bnnw8cpn,001b7a3388e3c1e712a01e30cdd8dbd3e8535e1e
8sgbf22u,001c647797abea963cbbd93fc85932ab96f00482
tldg8c94,001cc52918691265404fea9036d1afbd69768e62
3mqs7mj1,001ec025dd65db8a47827c8f49d9c41d60f35d00
m5ho8jqp,0020ab317ef923b740c1d3db52083a4e48495f8a
21e00h2d,0020e5c796f50e927b96ff0b7ea375b4745261a3
aq94ybqi,002160a433024de8c5e80b210f0b54e5d029fa57
p5orjg14,00218ecac4058261da156a6848e05e72f77b4dfc
ya81rc2n,0022796bb2112abd2e6423ba2d57751db06049fb
1bqpc3x3,0023258070e16dc764316f6797bfd03fea23ee07
ky3icm1m,0025aba7979aa27567a65cf6f19d6120f7f4691b
mrsmwxvo,002ac207ff68ec92179d4510a1623a9cc6c6acec
i8ywbu6u,002c8c43cea5f3ec8c97d30fe181c01b919d789a
zxln007a,002c9e9bed0d874c169d9f77a135f12e41b733ee
lndtq585,002e47e3d05b7bb891b9027b335de165d59d1b8b
m2xtdi6u,002f09dfc9a1323a15bf72e349d8b733ac97a2aa
d938zs2e,002f213aeda7ce843e3696c2747d374689b52e1c
38tajokl,002faa16056227423f9d108d01f0dae31491510c
rac71o9c,00301013bb6798789524592b73c6596ffa5b0603
3877dfj9,0031e47b76374e05a18c266bd1a1140e5eacb54f
05q8aki0,003229cade748c34593401d3f2b61eadeca86de4
vgw8uz83,00323b59bcaa4a1b859f03e9fe6d4c09825cae13
54hh0ppq,00325033266973fb091b9beb535090bf94810283
zu9a0tfq,00326efcca0852dc6e39dc6b7786267e1bc4f194
gblx3u2k,0032cd24d6d28b877809fe40ddeb0edff7ad75c3
r0ej6jep,00338998429de60726e4fe2dc07afaf65ed6f925
ija2pb97,00339c93e11141d71c66e8562f5cb4020e6def2c
oqte7dx2,00352a58c8766861effed18a4b079d1683fec2ec
ouafdyyc,0036b28fddf7e93da0970303672934ea2f9944e7
uhv28ji7,0036e8891c93ae63611bde179ada1e03e8577dea
fgjpuzm6,0037085421443b808dff3d84e452c5e952df09b6
q14gfwnt,003726d79e8d97982f4fe49a774144e495593f14
8bzu3jiu,0037b92cd657508547e9ce14eb4b7226f48fd0a6
60qw00zc,003c6f5c9b38f7d29898a7dc9554d5a7489f9431
fitte5bf,003d2e515e1aaf06f0052769953e861ed8e56608
zi9u0nks,003d88ea27bb48a2cfa96e491dbd4a9740b041bb
hm8d42fq,003f719a05b7a35ea4b778ded17cae230f5a0343
bmc8w3cn,0041321465851c3f9c1962f4d81de8f6fe839efe
4svsmhob,0043d044273b8eb1585d3a66061e9b4e03edc062
nh2rr0n9,0044844b4f255ad22c27993b76f8ea7e4122a365
okdilram,00467bd1940aae7539467e3ae56a8210fd44fc80
ngo0fyew,0048638dac84956b48b1d2a77a322e7f35c4fde3
tzq389yi,0049ba8861864506e1e8559e7815f4de8b03dbed
k2vbgqk7,004f0f69464edd5466a947da86d38cea9fe7e4fe
qbemfymp,004f0f8bb66cf446678dc13cf2701feec4f36d76
o1xic89x,0050cb5ead95958706cd183ab1115e70c6a626ba
da36693q,0053e68e14cc5fb5543d557a91a7f76497f8c5ac
tx2vqr64,00542c115a9aebacf8024b2e21c5f124b7bbf620
vxze3to7,0054b9ca26742250dc9bf92e7f9092f2cf0d0904
o49ah12j,00573277e6be50669016f770bc28ec2da0639a8f
v48c2798,005891341c5478c028356dac60945667e6ad77ea
zz7i6bsa,005bc3422252db5b8002702cb7872a65b3c15c90
rtzeip5s,005bf2f646cb75e9afde28869bd81142f7bd63a0
ekal5251,005d189d5bd7ac01aee65e934fd3d5186a3f7b27
lyuy6pot,005d48b545794f09d6db2d03a770466dcacaf7c2
09tkcvtc,005dba06f91557922b8397a2702448bcf9d58fb0
8n500evn,005f18dca2dab2f2781c63c183c9b54787629cb7
11esz6lk,005f37ed7fb9d0a45b613c2b3bc1bdbafc4f26ed
nkw4wqyb,00611e5391fc7ebadaf8cd0932b91a3abe98e231
mugsglc0,006128519916e134c1b44d8d37ebcb77b4b5560a
4jg4t8po,00623268d0ce12f11d6b3acb0cc012821f592b93
ja7zw7bf,00623bf2715e25d3acacb3f210d6888ed840e3cb
e99fw336,006be5ba67759a525ae8e211f43bd8e4429a64f0
agtcfov1,006be99e337c84b8758591a54f0362353b24dfde
kgje01qy,006c136c2d16211851cb0314e751a2e7e83e23af
zvrfqkol,006df1a5284369a9e2ff2dc7ab267a9f70294d8d
0zohar80,006f842814b0857e37fa9fe332a9772f803824f3
vw6kpuz4,0070c0b9e9bf2a5055bd77c250062877b391b6be
05emvz2v,00720d56a308d5afe9f85b97645abae3d324ae59
l5kocy4f,0072159e1ebecc889e9bcabb58bb45c47e18a403
qqijjcjd,007618ad76a3548195ab5d11c1e2459931c91cd1
8phdtv7h,0078d7b8410669318669f4dd90a40ce59defd9a3
st1djxx6,007909ae8397e78e90e4563ac0b05d77138a6e97
a7yovhvk,0079559ab8717d83bc3df6be8533ff9672bb4367
nmrh4ncw,00799d9acb7f964564fd4c31d0e6268185e68e3c
2vdyeeb6,007a59ca5fcd04a5abfcbcf037e688320788ea08
7sno0pih,007b0718b7fa24d93de07dcab13fe5245faa9862
9p82ryd4,007bf75961da42a7e0cc8e2855e5c208a5ec65c1
7jjmp51n,007d75e45cc9d79a93133918808dc9e86476b8ca
rgmurgbf,007da294df205b0188f2b50b347def276bf90adb
2841vq8w,007e325b2514afd152c8e396b96df06d05147dfd
66qoykl1,007ed8e51dede6acd78e9a2a6c5eb64184d8e838
6do0r4en,00800dd5beb713ede24550797f2d2955389c2e51
ytxrrslz,0080d3bd9fb92e022c27715c2d1249042aa998b8
q58ffgsk,00827017becea427098ec221115de51abda6f07e
34v1rny8,0083fddb5056d3b0646f91a430cfd8a92b29c9c8
mpdizhjw,00861dcfe2570c044690f6a6e2d8375a08ff4d9f
klliuizs,0087233aa9221ea0b29ee2282d99c708e88a97ca
rvj1ssfp,0087db1b3fdc81bb42d1fc625fc202c881dd9b9f
forh7lw4,0089aa4b17549b9774f13a9e2e12a84fc827d60b
7hyr8x0l,0089cde75e66707ff27c3d4716b2f17a9f2be02a
egby8kv5,008a847870d3fb20f63e7e245d62382babe2dff0
f7vhyau9,008c1ceaeffe7abc87b031af39fae2632fa72897
kuuyvf90,008cf2148ee4383534191b3736096878cad82c67
btdbv2tk,008d047db717ab57103f347beaba0388d17446a5
qx99ytpv,008d5e2223086380041cb279f63723896814034c
uieedtv2,008d980cbcc283a9b707de3d9a02573dde8528ac
jjsfxm49,009002e8a66b8c1df088cf04069629fd76b13bb9
5055n556,0090f410fb63dcbf8e7aed0354b4416522b31096
r6b34tjm,0091a5d39dc4ada88b726f3132c7ea4843918961
ifo4p7yk,0092ef431ef0ae30c62c793f6ca49858f1f6ce3b
4a4n3473,0093f9ae0861afc0d29fff935ae6a3af898cea00
gmznmdgh,0094b25e2500306fadbdfb41d520f2970bb086d3
gg4qi4tj,00951716e01c8e0cc341770389fc38d1b5455210
