query id,document id
0,dhszlrmo x1gces56 bwiyp73e jkjyh4cs 6u623i0w 3xb4lumz misprnq8 ds5mauer sdtxi8xw o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 hewbl5yu zy8qjaai u65mey2z d6by9p41 ssxq1ns2 k9yus2sv zdv0ilti 0rbgbsj8 solp6ho1 z443e8lk zhxrlopp dtv7to3l 4dtk1kyh pj8p2x9l xpobtz3h f03san07 zel9a3u6 81wv1s33 yzp9wjuk gy8d8285 z14rf85c c6yrtwq9 5lm5ttai hrbeh0me 5xki1ulf hsowmxan vexo81k5 plxz5mkg 7cb88t8n xad3k5aw xummm9xu 4s6vxmy7 wl83d6gs rcwck1y3 ifoe8x28 1mpzjgk1
1,dhszlrmo kftchnhz h5ufxzv9 lv8dvdp7 526elsrf d2tx02m4 5g0almil br661awf x1gces56 bwiyp73e exqza1kg og0zw56h 8ozauxlk b32zmfru rnn8wr50 60509txd jkjyh4cs 6u623i0w 3xb4lumz 0x4zrfw3 nlubwytj 9tqivs5f eoykmhv3 94xsyvux u19e9j2w 39yvniki 1llox90t 54auaa78 nzz852lx 5s3lghj6 jc1k3fki nhzamju7 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 3svnvozz kcvtvki1 59gmu16g zytu7wue og3myz22 621qzpqd 6rcezxjx lsvhzl6d hxial3gi n1nh1fhu 1f7fj42v delk2zeg dr5s2wyu
2,dhszlrmo oclvbviv 6kr2uwlq x1gces56 bwiyp73e 3pvstiz6 jkjyh4cs 6u623i0w 3xb4lumz 86ia5esh o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 fc3498d0 zdv0ilti jzpwo5un ipoelk4h 0rbgbsj8 puxz2f9g wh9vvgv2 tkqxb1ql gq8pusi3 1vehi4w4 c218cycl qjezak5y hrbeh0me 5xki1ulf 855h0e1k jdu4h00e e7vwyv2a j0suk34b nv1aa116 ctikde7d hzhj4137 pe3zfrpf ebkwv4zo jc00ulx5 ow2aijmj 1mpzjgk1 zkz8e1vd a8vwwpas w1l8h8g8 ajbypz7g fui9all6 04e6wvov 2qpcot6p obw576bp i5korxut
3,shv4w74z dhszlrmo vvwd7om1 4ddljc1t yahf2o7k 5okgevo2 enamco67 yp4o3crk 1lj4enzb na23tv0y j24hphoi fjcj6htg x1gces56 bwiyp73e ux9a6wrh 3tlp38yr 7xlt9lsa sqxmt699 00ijeoy9 znkj2zzm de6rg5kk gs2wi7hr 3xkao4oj befehafo h6z3w9hw w1la7snn aieqh4oj lo8k2prl 1od4i3gc l9cflfe3 yvf9qttl qbr3aomm 6a7krfpb 7hkowm2y iomao9a7 3zxvljfz jkjyh4cs 6u623i0w 3xb4lumz 4tufh3qa j1wj47ah 1d95mz2f j8txm091 nei42gox 4z26igx1 g1ve8zld 58l59lbu fn4vtjq2 cgj3vgy3 pmtzxo6n
4,3xb4lumz 6tsvv3tv o4njvi62 gs7j6fxo 8t35z4gl 7hqn997j 5t38x587 bzvdkxu9 tj4deqfw 0rbgbsj8 y3joi01a iuf95x84 9zy7xqig k05cdqlw lmoekp1m ieobv7q8 gzao2fo6 u3n60qjw xyq7iq9j yk9u4fvp agnmfkoq 7y2jd6jj 28lmzw9u jadzias9 x4uadmok q8l3ra55 imbuy8gc dyuw4kbm 6gljl7n5 3uohifp9 ttwhmtre qejmwvst x11t9pbv e3bg0igx 9db9dpvd vm1o1cel 6sybvdjj zbpvqsqb xxgog3hm riem28zd ll9x8okq 95fty9yi 6oxj7ok3 5j4nt2qs ovsdnjtd hr2g5ww6 y7o8ovf9 9ynljm2r i72nax2p nv1aa116
5,6u623i0w m92zffz9 n5du3bqt ibac3d0q 2jbw4spu 6f8vyziv dhszlrmo p0rqg7uk 7vhcf929 qdgqif5j 5gnbrnt4 bqbj660w 1f3r80r5 rhmywn8n k1adcls8 1b3pigtl x7xqli3g m8n2p55z tk1q4wkp 5jeku9j1 afdmegq0 63ddlh20 zij2wbzs hzahejqk tko3k0nf nk3ay4jr 9wadja0w o1alklje hlelt074 yj9tfemw gloxcpzq 6sf41rsj arnuoufn x1gces56 bwiyp73e 3khv6yrc 1kxxg0s9 hs9cbsq1 bkq5gpg8 i0586vfw pbr93xkb j061ywrl me6gqc9c z5dy8kxf 4cw34pm9 do4unt7v 0tkg57em 6kpgt70s modtthxx 28ezisog
6,ze9fl3se dhszlrmo vijh6x1l 3g75spkc rko7qdqk 7d5q0g0s o1alklje qjma4rsp m9yv4qkm x1gces56 bwiyp73e ilxd0ih9 zea51el3 621qzpqd iawcsntb 5jtzt8um bah2ege0 gnoqoh3w j061ywrl do4unt7v cxt9oq0j tg37se4l 3rhdxzj3 c87bbwmm nm2bq717 ezery7l0 um70ket2 sd2uvd3u fui9all6 knc0ruou 45aru1q5 qoukiqr7 jkjyh4cs 6u623i0w 3xb4lumz u4iri70d u7b8lmz0 o7rmldji 3czpucs4 o75jdx2j oihyz5v7 hetm83zg a2mjj5dt gzou8b9k pb47bs1t ptqmuulz 4jeaqqn9 i26lgvbz fxhkfjl6 gbyyehbu
7,5gnbrnt4 dhszlrmo x1gces56 bwiyp73e 9in8l1f7 6fkvmk6f jkjyh4cs 6u623i0w 3xb4lumz 83f0ruku 92rz2byz o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 8bzu3jiu 7yymjeoz x2ky94b0 zdv0ilti gkd1h8yi c2zikoak xodngfj6 0rbgbsj8 drqnrwdl buzj06i6 q14x0i2c f8yixsds xinfo9xw 2ad1tu4s hrbeh0me 5xki1ulf 8lud7tqx ph6gm827 igdkz3ht keaxietu 12gyrmh2 htd7dmn9 fn22wv7w 0d6o5w8z 7bhfranq 1mpzjgk1 p2gyj79j zkz8e1vd a8vwwpas 0lk8eujq ajbypz7g i0vyp4mx hptjqmrl ynauz0ll
8,jmzjfwxi dhszlrmo p63qlcnx adf5ttfd x1gces56 bwiyp73e 6mxxh6ha jtj12571 7bewt5q1 jkjyh4cs 6u623i0w 3xb4lumz ca4c6b8a nvilxnzl y9pjgkj1 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 zdv0ilti i48notp6 22srds0e 0rbgbsj8 8obqdbh9 wu1ygt6w 36d87soa bnzfljry jkzxjk54 qy66ih4m l0c69uul w6scpc65 hrbeh0me 5xki1ulf 9xroa775 53l0yw16 srpg754h 1mpzjgk1 zkz8e1vd a8vwwpas znm5ibc1 ajbypz7g 4x5tr0k5 ou4somp2 fuqtwn5a 7wirya95 1sbj2wzd h9o2d9jv y7xbyhly v7z62tld
9,ls408b2b kweh1doo xthtmpar q5xc4m3j d4dnz2lk jdfsacds rzh7ja6a xbuypaf6 9a131e0i le2eifv8 f6rx4h3r o8uk6if2 gl9w3t2i 1i5arpf8 all7ocnd 9bi6pobg jtamxl3c k208rpth l6guql8q qm2qvcwk 43w659t1 apjwnwky n0nch8he 9zeqigqa xcfk4efo 5qa2z9jj g8lsrojl 2jd7aa2d tnecig63 lb0fd7ig p1jeiljo hb1r2aw7 06vc2y9y gilpb3oy axymuyev y1727pi6 vdrd74nz 80d9p4j8 6sybvdjj y2zcwcic 8w6vhw81 qjf23a7e dhszlrmo c9w6235b bghgfcxo hofqmp2v ts3ra09u 38xlb547 44r53qhx 4fjya9wn
