query id,document id
0,dhszlrmo x1gces56 bwiyp73e misprnq8 jkjyh4cs 6u623i0w 3xb4lumz ds5mauer sdtxi8xw hewbl5yu zy8qjaai u65mey2z o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 d6by9p41 ssxq1ns2 k9yus2sv xpobtz3h f03san07 solp6ho1 zhxrlopp z443e8lk 4dtk1kyh zdv0ilti dtv7to3l pj8p2x9l 81wv1s33 zel9a3u6 0rbgbsj8 gy8d8285 z14rf85c hsowmxan yzp9wjuk c6yrtwq9 5lm5ttai vexo81k5 xad3k5aw 7cb88t8n plxz5mkg hrbeh0me 5xki1ulf xummm9xu 4s6vxmy7 wl83d6gs rcwck1y3 1o2ynvy3 jempqbk6
1,kftchnhz dhszlrmo h5ufxzv9 lv8dvdp7 526elsrf 5g0almil d2tx02m4 br661awf x1gces56 bwiyp73e exqza1kg og0zw56h rnn8wr50 b32zmfru 8ozauxlk 60509txd 0x4zrfw3 9tqivs5f eoykmhv3 jkjyh4cs 6u623i0w 3xb4lumz nlubwytj 39yvniki 1llox90t 94xsyvux nzz852lx u19e9j2w jc1k3fki nhzamju7 54auaa78 3svnvozz 5s3lghj6 kcvtvki1 zytu7wue og3myz22 n1nh1fhu 59gmu16g o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 delk2zeg dr5s2wyu 621qzpqd 1f7fj42v z1h788sc 6rcezxjx mxprt6x6
2,dhszlrmo oclvbviv 6kr2uwlq 3pvstiz6 x1gces56 bwiyp73e jkjyh4cs 6u623i0w 3xb4lumz 86ia5esh fc3498d0 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 jzpwo5un tkqxb1ql ipoelk4h gq8pusi3 puxz2f9g zdv0ilti wh9vvgv2 c218cycl 0rbgbsj8 1vehi4w4 qjezak5y jdu4h00e e7vwyv2a 855h0e1k nv1aa116 j0suk34b pe3zfrpf hrbeh0me 5xki1ulf ebkwv4zo hzhj4137 ctikde7d ow2aijmj jc00ulx5 04e6wvov w1l8h8g8 2ct0tyxh 2qpcot6p r2os3kn9 fui9all6 1mpzjgk1 obw576bp findut3c i5korxut
3,shv4w74z vvwd7om1 dhszlrmo 4ddljc1t yahf2o7k 5okgevo2 enamco67 1lj4enzb na23tv0y yp4o3crk j24hphoi ux9a6wrh 3tlp38yr 7xlt9lsa fjcj6htg sqxmt699 00ijeoy9 znkj2zzm de6rg5kk x1gces56 bwiyp73e h6z3w9hw w1la7snn aieqh4oj 3xkao4oj gs2wi7hr lo8k2prl 1od4i3gc l9cflfe3 befehafo yvf9qttl qbr3aomm 3zxvljfz iomao9a7 7hkowm2y 4tufh3qa j1wj47ah 6a7krfpb 1d95mz2f j8txm091 4z26igx1 g1ve8zld 58l59lbu fn4vtjq2 cgj3vgy3 mksutjae jkjyh4cs 6u623i0w 3xb4lumz nei42gox
4,3xb4lumz 6tsvv3tv o4njvi62 gs7j6fxo 8t35z4gl 7hqn997j 5t38x587 bzvdkxu9 tj4deqfw 0rbgbsj8 y3joi01a iuf95x84 9zy7xqig k05cdqlw lmoekp1m ieobv7q8 gzao2fo6 u3n60qjw xyq7iq9j yk9u4fvp agnmfkoq 7y2jd6jj 28lmzw9u jadzias9 x4uadmok q8l3ra55 imbuy8gc dyuw4kbm 6gljl7n5 3uohifp9 ttwhmtre x11t9pbv zbpvqsqb e3bg0igx qejmwvst 9db9dpvd vm1o1cel 5j4nt2qs 6sybvdjj xxgog3hm riem28zd ll9x8okq 95fty9yi 6oxj7ok3 ovsdnjtd hr2g5ww6 9ynljm2r y7o8ovf9 nv1aa116 i72nax2p
5,6u623i0w m92zffz9 n5du3bqt ibac3d0q 6f8vyziv 2jbw4spu p0rqg7uk dhszlrmo 7vhcf929 qdgqif5j bqbj660w rhmywn8n 5gnbrnt4 k1adcls8 1f3r80r5 m8n2p55z x7xqli3g 1b3pigtl tk1q4wkp 5jeku9j1 63ddlh20 hzahejqk zij2wbzs tko3k0nf afdmegq0 9wadja0w nk3ay4jr hlelt074 o1alklje yj9tfemw gloxcpzq 6sf41rsj arnuoufn 3khv6yrc 1kxxg0s9 hs9cbsq1 bkq5gpg8 pbr93xkb i0586vfw 4cw34pm9 x1gces56 bwiyp73e me6gqc9c z5dy8kxf 6kpgt70s 0tkg57em uutap3da 5pc0fhr1 modtthxx 4gaa14ly
6,ze9fl3se dhszlrmo vijh6x1l 3g75spkc rko7qdqk 7d5q0g0s qjma4rsp o1alklje zea51el3 m9yv4qkm ilxd0ih9 621qzpqd bah2ege0 iawcsntb 5jtzt8um x1gces56 bwiyp73e gnoqoh3w tg37se4l cxt9oq0j j061ywrl do4unt7v c87bbwmm 3rhdxzj3 sd2uvd3u um70ket2 nm2bq717 ezery7l0 knc0ruou 45aru1q5 u4iri70d u7b8lmz0 fui9all6 o75jdx2j qoukiqr7 3czpucs4 o7rmldji oihyz5v7 a2mjj5dt gzou8b9k hetm83zg ptqmuulz jkjyh4cs 6u623i0w 3xb4lumz 4jeaqqn9 pb47bs1t i26lgvbz fxhkfjl6 gbyyehbu
7,5gnbrnt4 dhszlrmo 9in8l1f7 6fkvmk6f x1gces56 bwiyp73e 83f0ruku 92rz2byz jkjyh4cs 6u623i0w 3xb4lumz 8bzu3jiu 7yymjeoz o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 gkd1h8yi xodngfj6 x2ky94b0 c2zikoak drqnrwdl buzj06i6 q14x0i2c xinfo9xw zdv0ilti f8yixsds 2ad1tu4s 0rbgbsj8 8lud7tqx ph6gm827 igdkz3ht fn22wv7w 7bhfranq keaxietu hrbeh0me 5xki1ulf 12gyrmh2 htd7dmn9 0d6o5w8z p2gyj79j 0lk8eujq hptjqmrl ynauz0ll i0vyp4mx 4oipool1 e5q27vpw 1mpzjgk1 wr5nlki3
8,jmzjfwxi p63qlcnx dhszlrmo adf5ttfd 6mxxh6ha x1gces56 bwiyp73e jtj12571 7bewt5q1 jkjyh4cs 6u623i0w 3xb4lumz ca4c6b8a y9pjgkj1 nvilxnzl o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 i48notp6 22srds0e 8obqdbh9 zdv0ilti wu1ygt6w 36d87soa qy66ih4m 0rbgbsj8 l0c69uul jkzxjk54 bnzfljry w6scpc65 9xroa775 53l0yw16 srpg754h hrbeh0me 5xki1ulf 4x5tr0k5 znm5ibc1 1mpzjgk1 h9o2d9jv ou4somp2 zkz8e1vd a8vwwpas ajbypz7g y7xbyhly fqhpaec1 9g3a0zas 2kyfboly 45wffqpc
9,ls408b2b kweh1doo xthtmpar q5xc4m3j d4dnz2lk jdfsacds rzh7ja6a xbuypaf6 9a131e0i f6rx4h3r le2eifv8 gl9w3t2i all7ocnd o8uk6if2 9bi6pobg 1i5arpf8 k208rpth l6guql8q jtamxl3c qm2qvcwk 43w659t1 apjwnwky n0nch8he 9zeqigqa xcfk4efo g8lsrojl 5qa2z9jj 2jd7aa2d tnecig63 lb0fd7ig p1jeiljo hb1r2aw7 06vc2y9y gilpb3oy axymuyev vdrd74nz y1727pi6 80d9p4j8 6sybvdjj 8w6vhw81 qjf23a7e y2zcwcic c9w6235b bghgfcxo hofqmp2v ts3ra09u 38xlb547 4fjya9wn 44r53qhx utlponna
